complexity,coverage rate,avg length,method,F1 score
"(8,1)",0.9444444444444444,12.263255839038123,MLE,0.2857142857142857
"(8,1)",0.875,17.0818401128198,Data splitting,0.2222222222222222
"(8,1)",0.8333333333333334,5.6621309785914065,Naive,0.5
"(8,1)",0.9642857142857143,11.82452944223073,MLE,0.25
"(8,1)",0.9358974358974359,13.727128625370515,Data splitting,0.2666666666666667
"(8,1)",0.8888888888888888,5.742140297276392,Naive,0.8
"(8,1)",0.90625,14.221736245668717,MLE,0.2222222222222222
"(8,1)",0.8974358974358975,14.783894473118695,Data splitting,0.2666666666666667
"(8,1)",0.7777777777777778,7.082865996462531,Naive,0.5
"(8,1)",0.875,12.228190370666733,MLE,0.2222222222222222
"(8,1)",0.8717948717948718,13.482839839371913,Data splitting,0.13333333333333336
"(8,1)",0.7777777777777778,6.886224367776772,Naive,0.5
"(8,1)",0.9487179487179487,12.288013434729152,MLE,0.2666666666666667
"(8,1)",0.9555555555555556,12.321725818224555,Data splitting,0.23529411764705882
"(8,1)",0.8333333333333334,6.463422778866186,Naive,0.5714285714285715
"(8,1)",0.9305555555555556,13.074495895179426,MLE,0.2857142857142857
"(8,1)",0.8809523809523809,14.63685539643658,Data splitting,0.25
"(8,1)",0.8888888888888888,7.521262645575139,Naive,0.8
"(8,1)",0.8928571428571429,11.970537474991918,MLE,0.125
"(8,1)",0.8939393939393939,14.346647976560835,Data splitting,0.15384615384615385
"(8,1)",0.8666666666666667,6.770391946661707,Naive,0.5714285714285715
"(8,1)",0.8166666666666667,10.72852834961878,MLE,0.33333333333333337
"(8,1)",0.9583333333333334,14.712430087114766,Data splitting,0.2222222222222222
"(8,1)",0.8571428571428571,6.959022462826771,Naive,0.4444444444444445
"(8,1)",0.84375,12.600124034623306,MLE,0.2222222222222222
"(8,1)",0.9285714285714286,14.790903441244836,Data splitting,0.25
"(8,1)",0.7916666666666666,6.753459127984789,Naive,0.6666666666666666
"(8,1)",0.8333333333333334,11.497430486252384,MLE,0.2666666666666667
"(8,1)",0.8809523809523809,14.12130728257956,Data splitting,0.25
"(8,1)",0.75,7.09624098681639,Naive,0.4
"(8,1)",0.8174603174603174,14.746940896295488,MLE,0.17391304347826084
"(8,1)",0.8717948717948718,20.5307504780318,Data splitting,0.13333333333333336
"(8,1)",0.6428571428571429,7.661083943423627,Naive,0.4444444444444445
"(8,1)",0.8333333333333334,14.15664427549546,MLE,0.1904761904761905
"(8,1)",0.95,13.885281878754105,Data splitting,0.16666666666666669
"(8,1)",0.7708333333333334,7.955750516947522,Naive,0.4
"(8,1)",0.8333333333333334,13.863727400992605,MLE,0.23529411764705882
"(8,1)",0.9111111111111111,16.72050547320837,Data splitting,0.23529411764705882
"(8,1)",0.8333333333333334,7.164036098853917,Naive,0.5714285714285715
"(8,1)",0.8958333333333334,13.409192321171398,MLE,0.1111111111111111
"(8,1)",0.8425925925925926,17.89521633096572,Data splitting,0.09999999999999999
"(8,1)",0.8888888888888888,7.187997016459,Naive,0.5
"(8,1)",0.9019607843137255,14.953647467778058,MLE,0.21052631578947367
"(8,1)",0.8229166666666666,16.386488021798723,Data splitting,0.2222222222222222
"(8,1)",0.8125,7.34565922668816,Naive,0.4
"(8,1)",0.8229166666666666,11.764655445475327,MLE,0.2222222222222222
"(8,1)",0.8787878787878788,13.798175040395373,Data splitting,0.3076923076923077
"(8,1)",0.8333333333333334,6.252350732659763,Naive,0.5
"(8,1)",0.8589743589743589,11.979254884462629,MLE,0.2666666666666667
"(8,1)",0.9444444444444444,15.06401131046746,Data splitting,0.2857142857142857
"(8,1)",0.7619047619047619,7.723403410298485,Naive,0.4444444444444445
"(8,1)",0.9,16.940263131869752,MLE,0.23529411764705882
"(8,1)",0.8863636363636364,20.423788462443362,Data splitting,0.16666666666666669
"(8,1)",0.8333333333333334,6.8699779114398,Naive,1.0
"(8,1)",0.875,12.792651737730015,MLE,0.18181818181818182
"(8,1)",0.8974358974358975,14.04023462276764,Data splitting,0.2666666666666667
"(8,1)",0.7777777777777778,7.16311668371015,Naive,0.3636363636363636
"(8,1)",0.9365079365079365,13.784132854179154,MLE,0.17391304347826084
"(8,1)",0.8725490196078431,17.4278825319444,Data splitting,0.21052631578947367
"(8,1)",0.8055555555555556,7.001638551389927,Naive,0.5
"(8,1)",0.9166666666666666,13.346861722027043,MLE,0.2222222222222222
"(8,1)",0.8703703703703703,16.007996918871555,Data splitting,0.19999999999999998
"(8,1)",0.8888888888888888,5.456113200337707,Naive,0.8
"(8,1)",0.8968253968253969,12.00365252728074,MLE,0.17391304347826084
"(8,1)",0.8809523809523809,13.921756080120256,Data splitting,0.25
"(8,1)",0.7857142857142857,6.995815350177193,Naive,0.4444444444444445
"(8,1)",0.8444444444444444,11.34923265463971,MLE,0.23529411764705882
"(8,1)",0.8921568627450981,14.004287269653009,Data splitting,0.21052631578947367
"(8,1)",0.7857142857142857,6.178163296366406,Naive,0.4444444444444445
"(8,1)",0.9,13.298761182734008,MLE,0.09090909090909091
"(8,1)",0.8571428571428571,13.938388865647337,Data splitting,0.125
"(8,1)",0.7777777777777778,7.4944088124757435,Naive,0.5
"(8,1)",0.8402777777777778,14.37708654954568,MLE,0.15384615384615385
"(8,1)",0.8645833333333334,17.625913810648772,Data splitting,0.1111111111111111
"(8,1)",0.803030303030303,8.369937816382398,Naive,0.3076923076923077
"(8,1)",0.925,13.039219368534104,MLE,0.18181818181818182
"(8,1)",0.9629629629629629,16.04685784938389,Data splitting,0.1818181818181818
"(8,1)",0.6851851851851852,7.805841355987441,Naive,0.3636363636363636
"(8,1)",0.9111111111111111,10.224265904407506,MLE,0.23529411764705882
"(8,1)",0.8854166666666666,12.140916388260363,Data splitting,0.2222222222222222
"(8,1)",0.8,5.738466459275616,Naive,0.5714285714285715
"(8,1)",0.9215686274509803,12.9664414471755,MLE,0.21052631578947367
"(8,1)",0.9117647058823529,14.47311695883093,Data splitting,0.21052631578947367
"(8,1)",0.7380952380952381,6.78808376048839,Naive,0.4444444444444445
"(8,1)",0.9,12.362265388333766,MLE,0.11764705882352941
"(8,1)",0.9111111111111111,15.792636527864182,Data splitting,0.23529411764705882
"(8,1)",0.75,7.258757647189132,Naive,0.5
"(8,1)",0.9404761904761905,12.536712906007093,MLE,0.25
"(8,1)",0.9270833333333334,16.727383126061348,Data splitting,0.2222222222222222
"(8,1)",0.9444444444444444,6.166468316375225,Naive,0.8
"(8,1)",0.8555555555555555,11.388471278911139,MLE,0.11764705882352941
"(8,1)",0.8611111111111112,13.032516715574694,Data splitting,0.2857142857142857
"(8,1)",0.8205128205128205,7.031458440886169,Naive,0.2666666666666667
"(8,1)",0.8833333333333333,14.490025071529693,MLE,0.18181818181818182
"(8,1)",0.8611111111111112,16.0350427220605,Data splitting,0.19999999999999998
"(8,1)",0.7857142857142857,7.632534966874451,Naive,0.4444444444444445
"(8,1)",0.9375,11.657181940731633,MLE,0.2222222222222222
"(8,1)",0.8571428571428571,12.86739244169374,Data splitting,0.25
"(8,1)",0.9444444444444444,5.637034893651098,Naive,0.8
"(8,1)",0.8846153846153846,11.234863059908395,MLE,0.2666666666666667
"(8,1)",0.8888888888888888,12.769758176900975,Data splitting,0.2857142857142857
"(8,1)",0.8055555555555556,6.6190331006536915,Naive,0.5
"(8,1)",0.9444444444444444,13.922630690068917,MLE,0.23529411764705882
"(8,1)",0.9351851851851852,20.42333569465416,Data splitting,0.09999999999999999
"(8,1)",0.8333333333333334,6.19067507636989,Naive,0.6666666666666666
"(8,1)",0.78,12.733692258848093,MLE,0.14814814814814814
"(8,1)",0.9270833333333334,16.036330543064032,Data splitting,0.1111111111111111
"(8,1)",0.8,7.10734674357189,Naive,0.33333333333333337
"(8,1)",0.7745098039215687,11.225078803993451,MLE,0.21052631578947367
"(8,1)",0.9761904761904762,12.97308968479107,Data splitting,0.25
"(8,1)",0.7083333333333334,5.720647454690476,Naive,0.6666666666666666
"(8,1)",0.9285714285714286,13.378051535423156,MLE,0.125
"(8,1)",0.9,16.942736519009788,Data splitting,0.23529411764705882
"(8,1)",0.75,8.988365472260606,Naive,0.25
"(8,1)",0.9385964912280702,11.974049481200181,MLE,0.1904761904761905
"(8,1)",0.8666666666666667,14.025091714966457,Data splitting,0.23529411764705882
"(8,1)",0.7777777777777778,6.509376497579901,Naive,0.5
"(8,1)",0.9215686274509803,13.946145641294159,MLE,0.21052631578947367
"(8,1)",0.9242424242424242,13.003362719302858,Data splitting,0.3076923076923077
"(8,1)",0.8666666666666667,6.6996248682902735,Naive,0.5714285714285715
"(8,1)",0.9222222222222223,12.95412733419971,MLE,0.23529411764705882
"(8,1)",0.8854166666666666,15.77441617183826,Data splitting,0.2222222222222222
"(8,1)",0.7857142857142857,7.382300165790158,Naive,0.4444444444444445
"(8,1)",0.8627450980392157,13.903514614087793,MLE,0.21052631578947367
