complexity,coverage rate,avg length,method,F1 score
"(8,1)",0.9166666666666666,34.561473346548354,MLE,0.4210526315789474
"(8,1)",0.9333333333333333,47.64860755918061,Data splitting,0.5714285714285713
"(8,1)",0.9166666666666666,21.324267666613544,Naive,0.3529411764705882
"(8,1)",1.0,36.406988753077364,MLE,0.0
"(8,1)",0.9761904761904762,34.9238086682342,Data splitting,0.2222222222222222
"(8,1)",0.75,12.32067130440411,Naive,0.0
"(8,1)",0.8,39.75538046379746,MLE,0.5000000000000001
"(8,1)",0.8888888888888888,34.33033331593808,Data splitting,0.3529411764705882
"(8,1)",0.75,12.384290085522677,Naive,0.15384615384615385
"(8,1)",0.9,38.253302822390616,MLE,0.12500000000000003
"(8,1)",0.8541666666666666,43.70787599979713,Data splitting,0.2105263157894737
"(8,1)",0.75,14.066599422875436,Naive,0.15384615384615385
"(8,1)",0.9444444444444444,41.55676035406587,MLE,0.3529411764705882
"(8,1)",0.9333333333333333,50.176273491807244,Data splitting,0.47619047619047616
"(8,1)",0.8333333333333334,14.151636544805207,Naive,0.28571428571428575
"(8,1)",0.9166666666666666,28.62243336823333,MLE,0.0
"(8,1)",0.9074074074074074,48.64685703806664,Data splitting,0.5
"(8,1)",0.8333333333333334,10.325494131984458,Naive,0.0
"(8,1)",0.8888888888888888,35.53928063426268,MLE,0.3529411764705882
"(8,1)",0.9358974358974359,49.560645187042645,Data splitting,0.5833333333333334
"(8,1)",0.75,14.238222754306477,Naive,0.39999999999999997
"(8,1)",0.7916666666666666,28.04784010179983,MLE,0.26666666666666666
"(8,1)",0.8,27.09970481545735,Data splitting,0.37499999999999994
"(8,1)",0.625,12.31418194049189,Naive,0.26666666666666666
"(8,1)",0.8333333333333334,38.04043745811443,MLE,0.37499999999999994
"(8,1)",0.8541666666666666,35.61609043246595,Data splitting,0.4210526315789474
"(8,1)",0.75,23.33381770532411,Naive,0.26666666666666666
"(8,1)",1.0,43.709619747044975,MLE,0.0
"(8,1)",0.9272727272727272,66.18070157261245,Data splitting,0.5714285714285713
"(8,1)",0.6666666666666666,10.326589239832943,Naive,0.16666666666666669
"(8,1)",0.8333333333333334,30.410536947658557,MLE,0.25000000000000006
"(8,1)",0.8571428571428571,47.388621626858516,Data splitting,0.33333333333333326
"(8,1)",0.6666666666666666,10.601404394956747,Naive,0.0
"(8,1)",0.8888888888888888,26.974276237832964,MLE,0.14285714285714288
"(8,1)",0.9444444444444444,38.37867517852527,Data splitting,0.39999999999999997
