sparsity size,coverage rate,avg length,method,F1 score
10,0.9603174603174603,213.7225069408932,MLE,0.45161290322580644
10,0.9333333333333333,303.42649747892676,Data splitting,0.5333333333333333
10,0.9833333333333333,125.61726358424208,Naive,0.4000000000000001
10,0.8472222222222222,187.05045829582076,MLE,0.2727272727272727
10,0.8461538461538461,243.2477253608557,Data splitting,0.17391304347826086
10,0.9722222222222222,99.3890298397593,Naive,0.37499999999999994
10,0.8589743589743589,236.89185409930025,MLE,0.4347826086956522
10,0.9583333333333334,302.73120659127176,Data splitting,0.1818181818181818
10,0.9814814814814815,129.03706292903803,Naive,0.4210526315789474
10,0.9615384615384616,213.44725300025488,MLE,0.608695652173913
10,0.8958333333333334,281.59527517244277,Data splitting,0.4615384615384615
10,0.8888888888888888,133.6584074958521,Naive,0.3636363636363636
10,0.8981481481481481,194.231494353629,MLE,0.2857142857142857
10,0.8958333333333334,254.51840783815638,Data splitting,0.5384615384615384
10,0.9871794871794872,116.00802143262081,Naive,0.34782608695652173
10,0.6875,211.61208214429894,MLE,0.38461538461538464
10,0.8541666666666666,251.69973553004866,Data splitting,0.38461538461538464
10,0.9743589743589743,129.18173016949652,Naive,0.5217391304347826
10,1.0,220.0573857744999,MLE,0.3636363636363636
10,0.84375,258.4049607599981,Data splitting,0.38461538461538464
10,0.8833333333333333,142.46981707006933,Naive,0.4000000000000001
10,0.8333333333333334,209.6813806492476,MLE,0.42857142857142855
10,0.8888888888888888,296.80840185530354,Data splitting,0.48
10,0.9166666666666666,112.91249113349039,Naive,0.45454545454545453
10,0.8796296296296297,196.3281590169654,MLE,0.35714285714285715
10,0.7976190476190477,285.2922257051995,Data splitting,0.41666666666666663
10,0.9027777777777778,110.62049130852539,Naive,0.3636363636363636
10,0.9122807017543859,210.44351901419535,MLE,0.5517241379310345
10,0.8095238095238095,273.87131680711275,Data splitting,0.3870967741935483
10,0.9375,113.20562477888792,Naive,0.6153846153846154
20,0.9285714285714286,189.09880839523478,MLE,0.47058823529411764
20,0.8981481481481481,253.47783673931255,Data splitting,0.4210526315789474
20,0.75,119.85432861593765,Naive,0.4666666666666667
20,0.9901960784313726,203.57058497715218,MLE,0.5405405405405405
20,0.9117647058823529,251.05745813584943,Data splitting,0.5405405405405405
20,0.7857142857142857,120.92528467153272,Naive,0.588235294117647
20,0.9305555555555556,221.75787479617645,MLE,0.45454545454545453
20,0.9047619047619048,319.91284245348976,Data splitting,0.4390243902439024
20,0.8,128.73767533951832,Naive,0.4571428571428572
20,0.9444444444444444,227.97241084442146,MLE,0.6363636363636365
20,0.8257575757575758,280.1066698667822,Data splitting,0.6190476190476191
20,0.9907407407407407,122.62511847392662,Naive,0.5789473684210527
20,0.8555555555555555,203.5533436290338,MLE,0.5142857142857143
20,0.8402777777777778,303.82504782885496,Data splitting,0.5909090909090908
20,0.8529411764705882,112.49483581576824,Naive,0.5945945945945946
20,0.9298245614035088,229.436684928825,MLE,0.46153846153846156
20,0.927536231884058,285.84896799150073,Data splitting,0.5116279069767442
20,0.8229166666666666,133.17605837855527,Naive,0.38888888888888884
20,0.8928571428571429,222.03630243817003,MLE,0.588235294117647
20,0.9,264.0972493590903,Data splitting,0.6857142857142857
20,0.9305555555555556,133.35280792343326,Naive,0.625
20,0.9122807017543859,221.20663582237944,MLE,0.5128205128205129
20,0.8974358974358975,266.4871004232468,Data splitting,0.5454545454545455
20,1.0,130.7293638070182,Naive,0.45161290322580644
20,0.9375,214.83765131850896,MLE,0.5555555555555556
20,0.9888888888888889,277.83341462806715,Data splitting,0.6857142857142857
20,0.9880952380952381,120.43776328529823,Naive,0.7058823529411764
20,0.8819444444444444,218.30410747517323,MLE,0.5909090909090908
20,0.956140350877193,277.2887453042894,Data splitting,0.6153846153846154
20,0.9166666666666666,125.30916074392243,Naive,0.6842105263157895
30,0.9824561403508771,216.6960533151135,MLE,0.5306122448979592
30,0.9365079365079365,272.256527885859,Data splitting,0.5098039215686274
30,0.9583333333333334,119.85524931917742,Naive,0.5217391304347827
30,0.9166666666666666,193.99784863342333,MLE,0.5
30,0.84375,255.45040846962002,Data splitting,0.5652173913043479
30,0.8333333333333334,114.29583402477589,Naive,0.5238095238095238
30,0.8650793650793651,238.68410028927872,MLE,0.6666666666666666
30,0.9019607843137255,329.3453688201141,Data splitting,0.5106382978723405
30,0.9895833333333334,138.70281632710942,Naive,0.608695652173913
30,0.8157894736842105,219.64279773168175,MLE,0.5306122448979592
30,0.8253968253968254,293.2861762398958,Data splitting,0.588235294117647
30,0.7549019607843137,119.07759291797898,Naive,0.5531914893617021
30,0.9126984126984127,220.1071432229717,MLE,0.6666666666666666
30,0.9375,293.33235841605796,Data splitting,0.608695652173913
30,0.8666666666666667,122.15354679767862,Naive,0.5777777777777778
30,0.8859649122807017,225.89362240174083,MLE,0.653061224489796
30,0.8015873015873016,295.7876258961788,Data splitting,0.6666666666666666
30,0.8666666666666667,126.11825348888459,Naive,0.5777777777777778
30,0.9473684210526315,203.46008578828014,MLE,0.5306122448979592
30,0.9166666666666666,247.4855506186638,Data splitting,0.576923076923077
30,0.9479166666666666,126.23434554253886,Naive,0.608695652173913
30,0.9523809523809523,226.6194087151684,MLE,0.588235294117647
30,0.9736842105263158,294.6406373400712,Data splitting,0.5714285714285714
30,0.8518518518518519,132.50285117310574,Naive,0.6666666666666667
30,0.8819444444444444,221.3736705128132,MLE,0.7037037037037038
30,0.9710144927536232,308.91410461631153,Data splitting,0.5660377358490566
