complexity,coverage rate,avg length,method,F1 score
"(10,1)",0.8571428571428571,34.008747885496604,MLE,0.4444444444444444
"(10,1)",0.9213483146067416,38.561447050828036,Data splitting,0.6086956521739131
"(10,1)",0.71875,14.00056554775544,Naive,0.5333333333333333
"(10,1)",0.875,37.78653350781602,MLE,0.3529411764705882
"(10,1)",0.9230769230769231,37.30786590464412,Data splitting,0.5833333333333334
"(10,1)",0.84375,14.286972543308945,Naive,0.39999999999999997
"(10,1)",0.8863636363636364,34.938480916189434,MLE,0.36363636363636365
"(10,1)",0.9204545454545454,37.40424036536862,Data splitting,0.5454545454545454
"(10,1)",0.7678571428571429,14.598728466085406,Naive,0.33333333333333326
"(10,1)",0.84375,31.644810810479456,MLE,0.631578947368421
"(10,1)",0.8392857142857143,38.94838790576991,Data splitting,0.64
"(10,1)",0.75,10.851084091077789,Naive,0.28571428571428575
"(10,1)",0.9107142857142857,36.351648658013325,MLE,0.33333333333333326
"(10,1)",0.9625,35.881890693912936,Data splitting,0.5714285714285713
"(10,1)",0.78125,13.496772259572131,Naive,0.26666666666666666
"(10,1)",0.859375,34.66154780759883,MLE,0.3157894736842105
"(10,1)",0.875,48.68119251995287,Data splitting,0.6153846153846153
"(10,1)",0.725,15.569520638932705,Naive,0.12500000000000003
"(10,1)",0.8333333333333334,35.27229921864812,MLE,0.3
"(10,1)",0.9230769230769231,46.71602596353955,Data splitting,0.5833333333333334
"(10,1)",0.75,12.834851890793924,Naive,0.25000000000000006
"(10,1)",0.875,31.772062948563914,MLE,0.3
"(10,1)",0.9791666666666666,34.47637805525835,Data splitting,0.5217391304347826
"(10,1)",0.6875,11.030271086020328,Naive,0.0
"(10,1)",0.875,29.6064003546317,MLE,0.12500000000000003
"(10,1)",0.9453125,44.37392176490556,Data splitting,0.5185185185185185
"(10,1)",0.875,12.874771296873359,Naive,0.26666666666666666
"(10,1)",0.8625,30.752910770118206,MLE,0.28571428571428564
"(10,1)",0.9416666666666667,45.49629209121392,Data splitting,0.6153846153846153
"(10,1)",0.859375,13.991601680419205,Naive,0.4210526315789474
"(10,1)",0.8035714285714286,41.78475173146875,MLE,0.33333333333333326
"(10,1)",0.875,50.07914210751559,Data splitting,0.5833333333333334
"(10,1)",0.8125,18.457235812727223,Naive,0.4705882352941177
"(10,1)",0.90625,34.79419410429763,MLE,0.4210526315789474
"(10,1)",0.9204545454545454,43.29945083124741,Data splitting,0.45454545454545453
"(10,1)",0.875,11.369528895489008,Naive,0.26666666666666666
"(10,1)",0.9583333333333334,34.002689833478584,MLE,0.3
"(10,1)",0.7890625,47.12346506048453,Data splitting,0.5185185185185185
"(10,1)",0.775,14.148855265636962,Naive,0.12500000000000003
"(10,1)",0.7875,35.2611279432994,MLE,0.47619047619047616
"(10,1)",0.8557692307692307,38.79356149671739,Data splitting,0.4999999999999999
"(10,1)",0.7361111111111112,19.061975220492684,Naive,0.5
"(10,1)",1.0,25.69980929496782,MLE,0.16666666666666669
"(10,1)",0.9375,50.9847498718284,Data splitting,0.5714285714285713
"(10,1)",0.8125,10.710276915115926,Naive,0.15384615384615385
"(10,1)",0.84375,32.774642837817005,MLE,0.5263157894736842
"(10,1)",0.8125,38.57292972397067,Data splitting,0.43478260869565216
"(10,1)",0.78125,12.170853758349574,Naive,0.26666666666666666
"(10,1)",0.9107142857142857,29.842386547471115,MLE,0.33333333333333326
"(10,1)",0.8863636363636364,40.41435058863404,Data splitting,0.45454545454545453
"(10,1)",0.875,12.782375684549843,Naive,0.12500000000000003
"(10,1)",0.8923076923076924,35.44627026687402,MLE,0.3
"(10,1)",0.921875,46.375893280884,Data splitting,0.6666666666666666
"(10,1)",0.8367346938775511,18.16061408048597,Naive,0.33333333333333326
"(10,1)",0.9166666666666666,28.43598312992799,MLE,0.4705882352941177
"(10,1)",0.8875,36.40390027857202,Data splitting,0.380952380952381
"(10,1)",0.75,11.435596834009369,Naive,0.28571428571428575
"(10,1)",0.859375,34.26923529746652,MLE,0.3157894736842105
"(10,1)",0.9134615384615384,40.57672978481857,Data splitting,0.4999999999999999
"(10,1)",0.7916666666666666,11.499977217011912,Naive,0.14285714285714288
"(10,1)",0.84375,32.230089519031175,MLE,0.39999999999999997
"(10,1)",0.9416666666666667,40.2049779967348,Data splitting,0.5384615384615385
"(10,1)",0.8125,11.21101941600824,Naive,0.26666666666666666
"(10,1)",0.875,27.23259601835151,MLE,0.4705882352941177
"(10,1)",0.85,43.70589415299932,Data splitting,0.6923076923076923
"(10,1)",0.8541666666666666,15.881316231034688,Naive,0.4705882352941177
"(10,1)",0.8392857142857143,33.31805238312307,MLE,0.2222222222222222
"(10,1)",0.8482142857142857,36.83099937349072,Data splitting,0.4799999999999999
"(10,1)",0.375,10.267624755415268,Naive,0.0
"(10,1)",0.96875,27.793837481612034,MLE,0.4210526315789474
"(10,1)",0.8916666666666667,39.93044603199708,Data splitting,0.6153846153846153
"(10,1)",0.78125,10.963445007404353,Naive,0.39999999999999997
