complexity,coverage rate,avg length,method,F1 score
"(12,1)",0.9444444444444444,28.20144563655349,MLE,0.3
"(12,1)",0.8923076923076924,33.97321927191416,Data splitting,0.4999999999999999
"(12,1)",0.84,11.265405899554315,Naive,0.25000000000000006
"(12,1)",0.9125,31.63394855421759,MLE,0.631578947368421
"(12,1)",0.8588235294117647,45.62724522576674,Data splitting,0.6428571428571428
"(12,1)",0.7666666666666667,13.391631425674843,Naive,0.4705882352941177
"(12,1)",0.8875,29.178397633929073,MLE,0.2105263157894737
"(12,1)",0.9,40.450531590856315,Data splitting,0.5925925925925926
"(12,1)",0.925,11.279290879992194,Naive,0.26666666666666666
"(12,1)",0.9,28.883868254939806,MLE,0.631578947368421
"(12,1)",0.8875,46.76313358286352,Data splitting,0.7407407407407406
"(12,1)",0.8142857142857143,15.150681787345096,Naive,0.6666666666666665
"(12,1)",0.84,29.54605081510637,MLE,0.380952380952381
"(12,1)",0.8666666666666667,40.72042885144961,Data splitting,0.5517241379310345
"(12,1)",0.85,12.885905601480669,Naive,0.2105263157894737
"(12,1)",0.9444444444444444,28.08894437181802,MLE,0.39999999999999997
"(12,1)",0.93125,42.377538105192706,Data splitting,0.6666666666666666
"(12,1)",0.8,11.54634831191586,Naive,0.13333333333333333
"(12,1)",0.8714285714285714,27.498635590168085,MLE,0.4444444444444444
"(12,1)",0.92,36.266575583056834,Data splitting,0.6153846153846153
"(12,1)",0.775,10.62493651275798,Naive,0.26666666666666666
"(12,1)",0.8777777777777778,31.514843410602527,MLE,0.39999999999999997
"(12,1)",0.9058823529411765,42.96408292291701,Data splitting,0.5714285714285714
"(12,1)",0.8,12.134836035856877,Naive,0.5000000000000001
"(12,1)",0.9166666666666666,33.44162460057919,MLE,0.5217391304347826
"(12,1)",0.8705882352941177,41.57182092483634,Data splitting,0.6428571428571428
"(12,1)",0.83,18.754859799012138,Naive,0.5714285714285713
"(12,1)",0.8916666666666667,30.710795691646908,MLE,0.5217391304347826
"(12,1)",0.8764705882352941,36.7076348810785,Data splitting,0.5714285714285714
"(12,1)",0.85,16.26107610096169,Naive,0.47619047619047616
"(12,1)",0.9333333333333333,30.81708889900378,MLE,0.5217391304347826
"(12,1)",0.8705882352941177,39.60314561238977,Data splitting,0.6428571428571428
"(12,1)",0.7888888888888889,14.742358130636802,Naive,0.3
"(12,1)",0.9066666666666666,32.30732937039263,MLE,0.4615384615384615
"(12,1)",0.9176470588235294,33.61622974486148,Data splitting,0.6428571428571428
"(12,1)",0.8,17.9521328123805,Naive,0.380952380952381
"(12,1)",0.8916666666666667,33.21820178286094,MLE,0.5217391304347826
"(12,1)",0.9176470588235294,45.036902340502095,Data splitting,0.5714285714285714
"(12,1)",0.8285714285714286,14.97618063156933,Naive,0.2222222222222222
"(12,1)",0.875,37.00378712373119,MLE,0.6666666666666666
"(12,1)",0.9384615384615385,41.81246049151371,Data splitting,0.6666666666666667
"(12,1)",0.8272727272727273,20.23971937160035,Naive,0.45454545454545453
"(12,1)",0.8727272727272727,31.368492226356647,MLE,0.5454545454545454
"(12,1)",0.88125,42.87157983134575,Data splitting,0.7407407407407406
"(12,1)",0.7636363636363637,19.30252273132461,Naive,0.5454545454545454
"(12,1)",0.95,31.461173061263217,MLE,0.380952380952381
"(12,1)",0.93125,39.20490649603279,Data splitting,0.5185185185185185
"(12,1)",0.84,12.597713421940002,Naive,0.37499999999999994
"(12,1)",0.8857142857142857,32.069985615751,MLE,0.33333333333333326
"(12,1)",0.8928571428571429,42.561159469078525,Data splitting,0.56
"(12,1)",0.8,15.126498808445731,Naive,0.37499999999999994
"(12,1)",0.85,33.76060521616282,MLE,0.43478260869565216
"(12,1)",0.9285714285714286,40.5434313577881,Data splitting,0.56
"(12,1)",0.86,15.248916138131449,Naive,0.0
"(12,1)",0.9090909090909091,32.274841192640686,MLE,0.36363636363636365
"(12,1)",0.9058823529411765,41.12700038644139,Data splitting,0.5714285714285714
"(12,1)",0.8142857142857143,13.99741009482938,Naive,0.33333333333333326
"(12,1)",0.9,27.58002347271136,MLE,0.39999999999999997
"(12,1)",0.8777777777777778,39.22401434390145,Data splitting,0.6206896551724137
"(12,1)",0.8428571428571429,11.921060544146375,Naive,0.33333333333333326
"(12,1)",0.825,30.51563459231712,MLE,0.4210526315789474
"(12,1)",0.9222222222222223,38.39905862053095,Data splitting,0.6206896551724137
"(12,1)",0.78,12.908344087486503,Naive,0.37499999999999994
"(12,1)",0.9,35.34058717722553,MLE,0.64
"(12,1)",0.9133333333333333,38.0175008862511,Data splitting,0.5384615384615385
"(12,1)",0.88,11.848651727044746,Naive,0.25000000000000006
"(12,1)",0.8714285714285714,28.072401804508402,MLE,0.4444444444444444
"(12,1)",0.8609271523178808,39.880293097551565,Data splitting,0.5185185185185185
"(12,1)",0.76,11.485914926024652,Naive,0.5000000000000001
"(12,1)",0.9076923076923077,34.13628239571107,MLE,0.6666666666666667
"(12,1)",0.8857142857142857,38.99430678034496,Data splitting,0.4799999999999999
"(12,1)",0.875,14.379093326709533,Naive,0.4210526315789474
"(12,1)",0.9076923076923077,32.9003923574319,MLE,0.33333333333333337
"(12,1)",0.9666666666666667,39.91585740917164,Data splitting,0.5384615384615385
"(12,1)",0.92,13.43837672580108,Naive,0.25000000000000006
"(12,1)",0.8454545454545455,32.025227360007406,MLE,0.36363636363636365
"(12,1)",0.8461538461538461,40.239018081449125,Data splitting,0.4999999999999999
"(12,1)",0.85,11.504497637932182,Naive,0.23529411764705885
"(12,1)",0.8909090909090909,28.47785473457834,MLE,0.5454545454545454
"(12,1)",0.8549618320610687,36.07791566629882,Data splitting,0.7200000000000001
"(12,1)",0.7746478873239436,12.736361590987512,Naive,0.4210526315789474
"(12,1)",0.8727272727272727,32.03137730369333,MLE,0.45454545454545453
"(12,1)",0.8928571428571429,35.01479254814299,Data splitting,0.4799999999999999
"(12,1)",0.8166666666666667,12.989011408286427,Naive,0.3529411764705882
"(12,1)",0.925,28.965139931892878,MLE,0.4210526315789474
"(12,1)",0.9083333333333333,33.8479050772961,Data splitting,0.5217391304347826
"(12,1)",0.8142857142857143,12.54829913936689,Naive,0.5555555555555556
"(12,1)",0.9285714285714286,30.64441614578385,MLE,0.4444444444444444
"(12,1)",0.8466666666666667,33.84688845818931,Data splitting,0.5384615384615385
"(12,1)",0.8,12.777661303251943,Naive,0.23529411764705885
"(12,2)",0.9444444444444444,44.998195052476284,MLE,0.3529411764705882
"(12,2)",0.9285714285714286,61.915573448399506,Data splitting,0.4799999999999999
"(12,2)",0.8222222222222222,18.501600277616554,Naive,0.37499999999999994
"(12,2)",0.9393939393939394,42.44833206081859,MLE,0.6363636363636364
"(12,2)",0.9185185185185185,58.11371106174421,Data splitting,0.6153846153846153
"(12,2)",0.8666666666666667,13.789158286763183,Naive,0.37499999999999994
"(12,2)",0.8703703703703703,45.00208200661176,MLE,0.43478260869565216
"(12,2)",0.8809523809523809,62.7039327196148,Data splitting,0.4
"(12,2)",0.8765432098765432,24.38710982781524,Naive,0.39999999999999997
"(12,2)",0.9027777777777778,37.19909842552372,MLE,0.4210526315789474
"(12,2)",0.9351851851851852,57.44874978175595,Data splitting,0.6086956521739131
"(12,2)",0.9111111111111111,14.812334374171822,Naive,0.37499999999999994
"(12,2)",0.8888888888888888,39.34089863538914,MLE,0.4210526315789474
"(12,2)",0.8592592592592593,64.63394603394454,Data splitting,0.6153846153846153
"(12,2)",0.8148148148148148,26.10590055309041,Naive,0.39999999999999997
"(12,2)",0.9074074074074074,41.68609257616028,MLE,0.3529411764705882
