Index,target,LCB,UCB,TP,sparsity size,F1,Method
0.0,0.0025781220565019906,-6.113566348234307,3.233090332867758,False,5.0,0.25,MLE
0.0,0.018492338892723083,-1.1946155123914326,3.797247281426538,False,5.0,0.25,MLE
0.0,0.01893491981679188,-1.799232409447269,7.748078693422713,False,5.0,0.25,MLE
0.0,-0.39448256545069116,-7.696307173102746,1.4467609959033476,True,5.0,0.25,MLE
0.0,-0.2471741552563413,-3.373914776862289,2.3443413348944433,True,5.0,0.25,MLE
0.0,0.39484376006279953,-1.206507384671137,7.949700898371268,True,5.0,0.25,MLE
0.0,0.09186955137823627,-0.14311921558169516,8.665592013607792,False,5.0,0.25,MLE
0.0,-0.03768212785201206,-2.8362075728152303,3.1722829410801627,False,5.0,0.25,MLE
0.0,-0.07418523101155389,-5.762132957237082,3.351236812539536,False,5.0,0.25,MLE
0.0,0.013968210759895879,-6.112791617171421,4.325330645575894,False,5.0,0.0,Data splitting
0.0,0.016837613141114652,-2.450250789619791,4.052551401879407,False,5.0,0.0,Data splitting
0.0,-3.7003604985860475e-06,-2.0521475311676043,9.18079919362318,False,5.0,0.0,Data splitting
0.0,-0.006135763437029504,-5.474554861033685,4.82959135341914,False,5.0,0.0,Data splitting
0.0,0.025411376002278187,-4.777782985869727,1.5418468067724356,False,5.0,0.0,Data splitting
0.0,0.00834341112399386,-4.165228337036419,6.934525583015143,False,5.0,0.0,Data splitting
0.0,0.002936345163189596,-8.152924857891826,2.452967549041284,False,5.0,0.0,Data splitting
0.0,-0.00842206382040522,-2.139920550091569,4.256382448576925,False,5.0,0.0,Data splitting
0.0,0.01573426163326002,0.8222504356295399,12.440284367774547,False,5.0,0.0,Data splitting
0.0,-0.34190012624413724,0.01664349612721505,5.344643766500105,True,5.0,0.28571428571428575,Naive
0.0,-0.2997143786624413,-2.553247060862709,0.7312065599447616,True,5.0,0.28571428571428575,Naive
0.0,-0.28995346506669495,-7.293751720826294,-1.953895588005885,True,5.0,0.28571428571428575,Naive
0.0,0.07586844243155735,2.864039631891882,7.9222150627512224,False,5.0,0.28571428571428575,Naive
0.0,0.004186802061916245,-3.2629518404597437,0.1852183492641386,False,5.0,0.28571428571428575,Naive
0.0,-0.03625871805235958,-6.358667597501629,-1.1225990601584015,False,5.0,0.28571428571428575,Naive
1.0,-0.21866460208842398,-1.0604726582529294,7.5853223140491925,True,5.0,0.20000000000000004,MLE
1.0,0.2996436852362132,-2.3741539167296026,3.431205986214391,True,5.0,0.20000000000000004,MLE
1.0,0.2490364265647747,-6.255071856919273,2.420955464869471,True,5.0,0.20000000000000004,MLE
1.0,-0.04306786022188577,-3.827813386066913,5.418383307034784,False,5.0,0.20000000000000004,MLE
1.0,0.032133472852446054,-2.5059930448129744,3.2936801355957637,False,5.0,0.20000000000000004,MLE
1.0,0.06034058975487835,-1.9051689356721977,7.3480433486103,False,5.0,0.20000000000000004,MLE
1.0,0.002053320922445232,-5.460310278438399,3.4395770575093962,False,5.0,0.20000000000000004,MLE
1.0,0.02176602923477398,-2.3674275157695295,3.504921839879154,False,5.0,0.20000000000000004,MLE
1.0,0.014502359362376205,-2.8613883164844123,6.362722991093577,False,5.0,0.20000000000000004,MLE
1.0,0.008893827573949444,-3.904906067502845,5.40464827041648,False,5.0,0.20000000000000004,MLE
1.0,0.030985514235977996,-3.872579667134934,1.8878895863653986,False,5.0,0.20000000000000004,MLE
1.0,-0.02739333408792782,-5.407599524841901,3.9075103408715957,False,5.0,0.20000000000000004,MLE
1.0,0.034942413491791995,-5.131430709857021,4.177568480103517,False,5.0,0.20000000000000004,MLE
1.0,0.03121163249629051,-3.791926877920713,1.8832741486020093,False,5.0,0.20000000000000004,MLE
1.0,-0.038922856046737384,-4.616916089755964,4.768060725713962,False,5.0,0.20000000000000004,MLE
1.0,0.03221835203566845,-6.285318110643164,3.693187980298228,False,5.0,0.16666666666666666,Data splitting
1.0,-0.02141697606067429,-5.3208402213732455,0.6880562778102233,False,5.0,0.16666666666666666,Data splitting
1.0,-0.07085760444512779,-4.203820324784349,5.2698196622250375,False,5.0,0.16666666666666666,Data splitting
1.0,-0.008709122042392803,-0.42549808918346343,9.662185510118729,False,5.0,0.16666666666666666,Data splitting
1.0,0.01883762710360944,-2.3551276588781125,3.8048750520648102,False,5.0,0.16666666666666666,Data splitting
1.0,0.004114046182485492,-9.719677845682334,1.0409912453496615,False,5.0,0.16666666666666666,Data splitting
1.0,0.03695482431538847,-7.459174210644843,2.5980680831549336,False,5.0,0.16666666666666666,Data splitting
1.0,0.02297860401167811,-1.3333359230638653,4.692637789293718,False,5.0,0.16666666666666666,Data splitting
1.0,-0.02445930249376916,-4.755319947776733,5.52227046074039,False,5.0,0.16666666666666666,Data splitting
1.0,-0.24912078845687505,-3.3253624475854253,6.324955032314994,True,5.0,0.16666666666666666,Data splitting
1.0,0.28461575039019743,1.2283302067227266,7.854387997411582,True,5.0,0.16666666666666666,Data splitting
1.0,-0.33878427593968186,-5.272355225211334,5.781530361976694,True,5.0,0.16666666666666666,Data splitting
1.0,-0.05003986755619599,-4.0505246645530795,4.957685196198049,False,5.0,0.16666666666666666,Data splitting
1.0,0.010243671593398037,-3.702467032329146,2.4732361207509292,False,5.0,0.16666666666666666,Data splitting
1.0,0.0604334905182739,-1.6306670722620518,7.099347719596256,False,5.0,0.16666666666666666,Data splitting
1.0,-0.000723202000867737,-4.326075897638511,5.347947926794335,False,5.0,0.16666666666666666,Data splitting
