complexity,coverage rate,avg length,method,F1 score
"(10,1)",0.8618421052631579,6.409243389352338,MLE,0.2727272727272727
"(10,1)",0.9140625,9.555239948429659,Data splitting,0.21052631578947367
"(10,1)",0.8611111111111112,4.463827419763273,Naive,0.5
"(10,1)",0.8819444444444444,6.723068636468931,MLE,0.2857142857142857
"(10,1)",0.8676470588235294,10.191795949746272,Data splitting,0.3
"(10,1)",0.8303571428571429,5.211185695150868,Naive,0.23529411764705882
"(10,1)",0.875,6.6806802381716395,MLE,0.2857142857142857
"(10,1)",0.9791666666666666,12.036841655098964,Data splitting,0.2857142857142857
"(10,1)",0.8173076923076923,4.882300456247282,Naive,0.375
"(10,1)",0.8552631578947368,6.323980189132459,MLE,0.2727272727272727
"(10,1)",0.8958333333333334,10.071036802224306,Data splitting,0.2857142857142857
"(10,1)",0.8161764705882353,5.257016860827173,Naive,0.3
"(10,1)",0.8947368421052632,6.650732272234707,MLE,0.2727272727272727
"(10,1)",0.9191176470588235,11.07056849991666,Data splitting,0.3
"(10,1)",0.8295454545454546,4.945241094597307,Naive,0.42857142857142855
"(10,1)",0.9013157894736842,6.473000580996315,MLE,0.2727272727272727
"(10,1)",0.9416666666666667,9.282082312695593,Data splitting,0.33333333333333337
"(10,1)",0.8541666666666666,4.674110042830237,Naive,0.4
"(10,1)",0.9078947368421053,5.624748698113035,MLE,0.2727272727272727
"(10,1)",0.8828125,8.612018764056042,Data splitting,0.3157894736842105
"(10,1)",0.8068181818181818,4.049990499614561,Naive,0.42857142857142855
"(10,1)",0.9166666666666666,6.8518130754291855,MLE,0.2857142857142857
"(10,1)",0.9609375,10.10606547998162,Data splitting,0.3157894736842105
"(10,1)",0.875,5.303919814808487,Naive,0.3157894736842105
"(10,1)",0.9375,6.750250896724151,MLE,0.2608695652173913
"(10,1)",0.9083333333333333,8.612406156310385,Data splitting,0.33333333333333337
"(10,1)",0.8888888888888888,4.258620106558316,Naive,0.3333333333333333
"(10,1)",0.875,6.002601333791205,MLE,0.2727272727272727
"(10,1)",0.8916666666666667,8.805184835795966,Data splitting,0.2222222222222222
"(10,1)",0.8854166666666666,4.696699596736593,Naive,0.4
"(10,1)",0.9117647058823529,6.749656059526576,MLE,0.3
"(10,1)",0.8928571428571429,9.195132117724123,Data splitting,0.23529411764705882
